FS INT,SS PEAK,SS INT,SS TOF,FL1 INT_CD14-FITC,FL2 INT_CD19-PE,FL3 INT_CD13-ECD,FL4 INT_CD33-PC5.5,FL5 INT_CD34-PC7,FL6 INT_CD117-APC,FL7 INT_CD7-APC700,FL8 INT_CD16-APC750,FL9 INT_HLA-PB,FL10 INT_CD45-KO,TIME,label
370855.0,10628.0,56507.0,69.0,661.3683,624.8954,709.36163,372.01886,1341.6251,1457.1027,16825.053,2477.4917,625.58044,15322.93,118.0,0.0
576026.0,10245.0,50899.0,64.0,323.3683,517.8953,465.3617,332.01883,1183.625,1658.1027,8947.052,2420.492,740.5805,24619.932,252.0,0.0
429551.0,10821.0,59399.0,71.0,609.3684,728.8953,1497.3617,1485.0189,1543.6251,3238.1023,24748.049,6141.491,2691.5803,21183.93,315.0,0.0
482506.0,12351.0,62881.0,70.0,482.36838,504.89536,804.36163,447.0188,1029.625,2703.1025,18619.053,3626.4917,1229.5803,33145.93,322.0,0.0
636999.0,10750.0,56468.0,67.0,363.3683,465.89532,512.3617,388.01883,404.62503,2102.1025,12115.05,2329.492,503.5804,13542.93,376.0,0.0
386989.0,6636.0,30199.0,58.0,416.36832,300.89536,376.36166,636.0189,488.62506,1106.1027,13242.05,2797.4917,190.58046,7724.93,423.0,0.0
360051.0,12477.0,59361.0,61.0,422.36835,537.8954,426.3617,507.01886,702.625,6306.102,80535.055,15768.492,498.58044,17371.932,518.0,0.0
550384.0,14160.0,75132.0,69.0,387.36832,649.8953,808.3618,517.01886,1190.625,4524.103,43886.05,7228.492,446.58044,14785.93,540.0,0.0
465051.0,11564.0,69966.0,70.0,850.3684,489.89536,642.3618,905.0189,828.62506,2701.1025,16192.051,3734.492,748.5804,21696.928,1675.0,0.0
584588.0,17584.0,90248.0,65.0,383.3683,305.89532,692.36163,601.0188,1061.625,3705.102,32237.049,6916.49,606.58044,20084.93,1779.0,0.0
390755.0,11638.0,56921.0,62.0,480.3683,305.8953,554.3617,532.01886,899.625,3430.102,39338.047,7577.491,369.58044,12117.931,1905.0,0.0
365492.0,7226.0,31793.0,56.0,283.36832,255.89534,683.3617,254.01883,824.62494,1402.1027,9550.05,2068.4917,588.58044,8735.93,2076.0,0.0
460551.0,9458.0,49681.0,62.0,364.36835,233.89532,339.36166,496.01886,1018.625,2479.1023,21445.05,4315.491,440.5805,16694.932,2179.0,0.0
615229.0,25856.0,128520.0,65.0,626.36847,907.8954,1005.36176,823.0189,1766.6249,3558.1023,15380.05,4953.491,2329.5803,30658.93,2642.0,0.0
661850.0,25584.0,131267.0,184.0,675.3684,633.8954,743.3617,1046.0189,7398.6245,6967.102,16686.049,3917.4917,1272.5804,16375.93,2837.0,0.0
526338.0,19104.0,95957.0,68.0,690.36835,762.8953,764.3617,1040.0189,1060.625,4132.1025,38168.055,7073.492,693.58044,21185.932,2856.0,0.0
503403.0,14784.0,75158.0,66.0,192.3683,357.89536,530.36163,374.01886,1323.6249,4824.1025,50945.055,8937.493,409.58038,15824.93,2933.0,0.0
459828.0,15200.0,79933.0,69.0,406.3683,599.8954,621.3617,508.01883,1141.625,1555.1027,12120.051,2669.4917,1408.5803,20076.93,3584.0,0.0
294135.0,23856.0,125348.0,65.0,652.36835,533.8954,1036.3616,585.01886,545.625,2783.1028,19964.05,3956.4917,634.58044,19455.93,3942.0,0.0
460065.0,20576.0,106853.0,68.0,437.3683,359.89532,554.3617,433.0189,672.625,4387.102,44416.05,7384.4917,474.58047,16646.932,4013.0,0.0
395587.0,15840.0,85625.0,69.0,343.36832,439.89532,764.3617,368.0188,1309.625,1748.1025,9151.049,2047.4917,493.58044,13543.93,4537.0,0.0
551453.0,13488.0,62828.0,60.0,321.36832,262.89536,485.36166,451.0188,995.62506,847.10266,9374.05,1657.4918,690.58044,19620.93,4701.0,0.0
416911.0,10855.0,62712.0,77.0,334.36832,301.89536,503.3617,313.01883,632.625,795.10266,11075.05,1880.492,898.5804,30174.93,4794.0,0.0
