FS INT,SS PEAK,SS INT,SS TOF,FL1 INT_CD14-FITC,FL2 INT_CD19-PE,FL3 INT_CD13-ECD,FL4 INT_CD33-PC5.5,FL5 INT_CD34-PC7,FL6 INT_CD117-APC,FL7 INT_CD7-APC700,FL8 INT_CD16-APC750,FL9 INT_HLA-PB,FL10 INT_CD45-KO,TIME,label
440516.0,26128.0,145643.0,75.0,460.36835,516.8953,671.3617,708.01886,1369.6249,3299.1025,37857.05,6382.4927,817.58044,21479.93,43890.0,0.0
438981.0,17216.0,87601.0,66.0,379.36835,646.8953,762.36163,582.0188,1167.625,7082.102,68545.05,12555.49,514.58044,16573.93,44028.0,0.0
342809.0,13648.0,70432.0,66.0,443.36832,417.89532,524.3617,198.01883,563.625,1666.1025,11273.05,2571.492,536.58044,14696.931,45953.0,0.0
403592.0,17616.0,90720.0,67.0,380.36835,511.8953,718.36163,340.01886,203.62505,2274.1023,25731.05,4387.4917,669.58044,18358.93,46034.0,0.0
546434.0,22896.0,121053.0,69.0,733.3684,757.8953,954.3617,585.0188,1228.6251,2532.1025,9142.051,2500.4917,915.5804,27396.93,48218.0,0.0
530850.0,20480.0,106296.0,69.0,383.36835,477.89532,671.3617,372.01883,1021.625,1419.1025,7749.0503,1820.492,697.58044,19669.93,48828.0,0.0
421839.0,15328.0,74615.0,65.0,337.3683,472.89532,824.3617,655.0189,612.625,3975.1025,44714.047,7818.4917,748.58044,21959.93,49106.0,0.0
306203.0,17200.0,82221.0,61.0,519.36835,311.89536,443.3617,524.0188,1171.6249,4385.1025,54481.047,10760.491,558.5804,18809.93,49267.0,0.0
425785.0,15616.0,82094.0,69.0,284.36832,467.8953,484.36166,624.0188,674.625,3041.1025,27363.049,5462.492,599.58044,17634.93,50746.0,0.0
258456.0,23744.0,120235.0,65.0,249.36832,621.8952,656.3617,478.01883,852.625,4546.1035,49219.055,8961.493,566.58044,15889.931,50884.0,0.0
325014.0,10021.0,49096.0,59.0,271.36832,421.89532,688.36176,392.01883,627.62494,2343.1028,17862.05,3334.492,462.58044,12636.931,52667.0,0.0
401447.0,25248.0,130700.0,69.0,568.3683,474.89536,610.3617,581.0188,1125.625,2235.1025,10176.051,1892.492,854.5803,17734.93,54176.0,0.0
308751.0,8619.0,40479.0,58.0,248.36832,384.89532,565.3617,167.01886,1393.625,1051.1028,8139.0503,1840.4918,351.58047,11766.93,55311.0,0.0
456229.0,18704.0,93109.0,64.0,360.36835,419.89536,563.3617,333.01883,1005.625,2773.1028,19990.05,4285.4917,464.5804,14210.93,56260.0,0.0
336200.0,12428.0,61792.0,63.0,309.36832,223.89532,611.3617,432.01883,1706.625,4341.103,47775.06,8861.493,464.5804,12729.93,56379.0,0.0
283669.0,12480.0,62797.0,61.0,209.36832,312.89532,448.3617,726.0188,931.6251,2156.1028,7086.05,1390.4918,351.58044,13301.931,57773.0,0.0
390109.0,16512.0,83732.0,64.0,331.36832,370.89536,895.36176,283.0188,939.62506,1866.1025,19010.05,3644.4917,449.58044,12162.931,58317.0,0.0
438578.0,14272.0,74503.0,67.0,622.36835,354.89536,773.36163,713.01886,674.62506,3962.1023,42903.043,7170.4907,611.5804,21107.93,59407.0,0.0
226861.0,12350.0,75067.0,61.0,510.36835,482.8953,663.36163,1143.019,1533.6249,1424.1025,10994.049,3303.4915,561.58044,12115.93,60399.0,0.0
241794.0,20928.0,111525.0,70.0,215.36829,343.89536,662.3617,421.01883,761.625,2157.1025,11627.049,2190.492,725.5804,19800.93,60596.0,0.0
237853.0,16976.0,88100.0,67.0,282.3683,592.8953,546.3617,620.01886,926.625,5437.102,67140.06,11159.491,546.58044,16181.93,61148.0,0.0
349723.0,16592.0,85175.0,66.0,541.36835,295.89532,551.36163,556.01886,402.625,2722.1028,20069.049,3610.4912,461.58044,13368.93,62436.0,0.0
439872.0,19200.0,99218.0,70.0,318.36835,318.89532,632.36163,547.01886,945.625,2642.1028,19874.05,3269.4917,685.58044,17504.93,63376.0,0.0
450151.0,18112.0,94382.0,67.0,673.3684,532.8953,568.3617,550.0188,1136.6249,1136.1027,10900.052,2179.492,1158.5803,27373.93,63377.0,0.0
