FS INT,SS PEAK,SS INT,SS TOF,FL1 INT_CD14-FITC,FL2 INT_CD19-PE,FL3 INT_CD13-ECD,FL4 INT_CD33-PC5.5,FL5 INT_CD34-PC7,FL6 INT_CD117-APC,FL7 INT_CD7-APC700,FL8 INT_CD16-APC750,FL9 INT_HLA-PB,FL10 INT_CD45-KO,TIME,label
288520.0,11225.0,57927.0,66.0,281.36832,340.8953,714.36163,598.0188,944.625,3943.1023,27380.05,6552.492,424.58047,11969.931,413.0,0.0
400640.0,14320.0,68728.0,62.0,346.36835,464.8953,760.3617,663.01886,338.6251,6279.103,47017.06,8431.493,651.58044,15186.93,462.0,0.0
323150.0,14992.0,71864.0,63.0,307.36832,560.8953,481.3617,342.01883,1270.6249,509.10275,6192.05,1868.492,403.58047,13337.931,565.0,0.0
440118.0,26464.0,181874.0,100.0,1196.3685,807.8954,1115.3617,539.0188,906.6251,3375.1025,23156.05,4332.4917,1062.5803,13013.93,1567.0,0.0
388935.0,15152.0,79426.0,69.0,352.36832,408.89532,609.36163,193.0188,1011.6251,2783.1028,14431.05,2859.4917,450.58044,13140.931,1792.0,0.0
353715.0,9057.0,44100.0,65.0,375.36838,332.89536,478.36172,313.01883,984.625,1751.1027,18416.05,3956.4917,298.58047,10465.931,2195.0,0.0
312029.0,17168.0,84415.0,65.0,274.3683,414.8953,604.3617,515.01886,579.625,2477.1025,27498.049,6392.491,2512.5803,22028.93,2585.0,0.0
295368.0,10538.0,53634.0,62.0,288.36832,326.8953,408.3617,587.01886,821.625,4813.1025,58959.047,11246.491,393.58047,14113.931,2751.0,0.0
396613.0,20080.0,102275.0,67.0,218.3683,269.89532,576.36163,558.01886,949.625,2262.1025,27056.05,5499.4917,409.58044,12074.931,3154.0,0.0
458159.0,20016.0,110908.0,75.0,251.36832,445.8953,453.36166,230.01883,856.625,5246.103,44571.055,7795.4917,461.58047,17931.93,3530.0,0.0
333683.0,12481.0,61519.0,66.0,388.3683,343.8953,622.36163,271.0188,746.625,6429.1025,76940.055,15022.49,373.58044,14191.931,3808.0,0.0
292336.0,10132.0,46897.0,59.0,345.36835,354.89532,424.3617,523.0189,834.62494,2154.1025,27541.053,4996.4917,299.58044,12466.93,4474.0,0.0
420565.0,14304.0,73362.0,67.0,587.36835,576.89526,1083.3617,650.01886,891.62494,5510.1025,63531.05,11897.491,866.5803,22949.93,5662.0,0.0
352649.0,14144.0,67951.0,63.0,339.36832,835.8952,637.36163,449.01886,567.625,2716.1023,25256.05,5128.492,502.5804,14419.93,6249.0,0.0
298488.0,10614.0,54573.0,64.0,225.3683,395.89536,640.3617,788.0189,536.625,3452.1025,25893.05,5914.492,533.58044,15928.93,6552.0,0.0
513070.0,10419.0,55037.0,67.0,361.36832,457.89536,386.36166,324.01886,710.62506,5638.103,52137.05,9030.491,465.58047,13986.931,9345.0,0.0
334038.0,11614.0,58999.0,63.0,219.36829,448.89532,367.36172,456.0189,1230.625,3741.1025,58445.055,10955.491,357.5804,8867.93,9357.0,0.0
446517.0,13353.0,69361.0,70.0,202.3683,266.8953,481.3617,572.01886,1131.6249,2919.1025,30669.05,5050.4917,593.58044,13476.93,9979.0,0.0
350342.0,14464.0,71448.0,66.0,404.3683,398.89532,432.36166,441.01886,1026.6251,2478.1028,30464.053,4843.4927,1051.5803,21675.928,10340.0,0.0
276168.0,16384.0,88137.0,69.0,469.3683,623.89526,653.3617,429.01883,1035.6249,4614.103,20451.047,4041.4915,598.58044,20828.93,10601.0,0.0
330813.0,9868.0,56511.0,64.0,214.36832,419.8953,500.36166,484.0188,1100.6251,1245.1027,9342.051,1803.492,341.58044,10525.93,10697.0,0.0
364882.0,7868.0,38519.0,59.0,362.36832,311.8953,387.36166,442.01883,1006.62494,2808.1023,26985.053,5663.4917,375.58044,12143.93,11193.0,0.0
298787.0,20352.0,99347.0,63.0,345.36832,490.89536,497.3617,293.01886,1131.625,4284.1025,48488.055,9058.492,425.58047,13510.931,11374.0,0.0
312630.0,14736.0,84305.0,77.0,320.36832,353.89532,529.3617,473.01883,903.62494,2746.1025,32523.053,4125.491,414.58044,14143.931,11615.0,0.0
495992.0,9783.0,49453.0,67.0,223.36832,314.89536,404.36163,258.01886,774.625,2403.1023,30349.053,5771.4917,348.58044,11699.93,11832.0,0.0
238518.0,18864.0,86809.0,58.0,252.36832,530.8953,515.3617,224.01884,774.62506,2425.1025,13480.051,3251.4917,723.58044,20200.932,13042.0,0.0
468884.0,13664.0,69580.0,65.0,331.36832,568.8953,426.36172,540.01886,1080.625,1347.1025,8729.051,2358.4917,5531.5806,27412.93,15765.0,0.0
350141.0,16864.0,83817.0,64.0,387.36832,464.89532,433.3617,513.01886,876.62506,3734.1025,37932.05,7452.4917,1157.5804,25698.932,16016.0,0.0
331142.0,10998.0,56800.0,65.0,209.36829,403.8953,453.3617,304.0188,797.625,1645.1025,11959.049,2075.4917,381.58047,11663.931,16045.0,0.0
387678.0,17072.0,84356.0,67.0,415.36835,358.89532,576.3617,292.01886,838.6251,5053.103,40685.05,7512.4917,448.5804,14983.93,16514.0,0.0
