FS INT,SS PEAK,SS INT,SS TOF,FL1 INT_CD14-FITC,FL2 INT_CD19-PE,FL3 INT_CD13-ECD,FL4 INT_CD33-PC5.5,FL5 INT_CD34-PC7,FL6 INT_CD117-APC,FL7 INT_CD7-APC700,FL8 INT_CD16-APC750,FL9 INT_HLA-PB,FL10 INT_CD45-KO,TIME,label
519537.0,18144.0,92729.0,68.0,381.36835,345.89532,681.36163,305.0188,597.625,3417.102,40325.047,7116.4907,1441.5803,24733.93,2334.0,0.0
408109.0,13744.0,68093.0,68.0,550.36847,367.89532,488.3617,475.01883,787.62506,3548.102,46285.05,8135.4917,445.58044,15459.93,2390.0,0.0
386160.0,12314.0,64048.0,66.0,328.36832,396.8953,346.36166,277.01883,791.62494,912.10266,11989.05,2510.4917,484.5804,15639.931,2411.0,0.0
522741.0,14000.0,66506.0,62.0,457.36835,319.89536,376.3617,362.01883,683.625,2280.1025,25800.05,4865.491,607.58044,15254.931,3105.0,0.0
427717.0,10995.0,52883.0,62.0,207.36832,290.89532,286.3617,569.01886,706.6251,1815.1029,37864.055,6319.4927,311.58044,9454.931,3937.0,0.0
580922.0,12512.0,65885.0,67.0,533.3684,510.89536,662.3617,462.01883,978.625,797.1027,12343.05,2436.492,1347.5803,11167.931,3964.0,0.0
477576.0,14160.0,72035.0,67.0,224.36832,129.89536,430.36172,366.01886,984.6251,3172.1025,32620.05,5168.491,379.58047,12820.931,4044.0,0.0
300380.0,13840.0,64729.0,60.0,151.36833,263.89532,404.36166,215.01883,349.62503,1303.1027,15279.051,2898.4922,1055.5803,11940.93,4723.0,0.0
457662.0,13618.0,69566.0,66.0,434.36832,295.89532,436.36166,415.01886,622.625,4034.1023,57482.055,10826.492,474.5804,12803.93,4987.0,0.0
392703.0,14688.0,73636.0,63.0,206.36829,263.89532,275.36166,214.01881,466.62503,3378.1028,51379.05,8829.492,327.58044,11534.93,5192.0,0.0
392965.0,14752.0,74916.0,63.0,262.36832,382.89536,571.36163,289.01883,809.62506,1875.1024,21164.049,4148.4917,1242.5803,17150.93,6960.0,0.0
455378.0,12188.0,63655.0,63.0,214.36832,400.89532,614.3617,323.01883,681.62506,1432.1025,20385.05,4088.4917,943.5803,15146.93,9067.0,0.0
413670.0,8618.0,41264.0,62.0,449.36835,463.89532,539.3617,349.0188,943.625,1914.1025,14710.05,2663.4917,520.58044,11205.931,9356.0,0.0
497300.0,16144.0,85053.0,67.0,447.36835,348.89536,829.3617,322.0188,803.625,1721.1025,19975.049,4487.491,643.58044,16347.931,9471.0,0.0
608884.0,21680.0,112061.0,71.0,197.3683,385.89526,366.3617,316.01883,600.62506,920.1026,9558.05,1855.4916,453.5804,13523.93,10424.0,0.0
435231.0,15248.0,75609.0,62.0,288.36832,321.89532,394.36163,250.0188,585.625,2504.1025,39248.05,7912.4917,410.58044,16633.93,11827.0,0.0
357916.0,14256.0,70058.0,64.0,202.36829,434.89532,415.3617,648.01886,269.625,1445.1027,17604.053,3960.4917,399.5804,13834.93,11999.0,0.0
353236.0,15264.0,74899.0,63.0,289.36832,235.89531,474.36166,688.01886,999.62494,2940.1023,50403.05,8410.491,452.58047,15997.93,12023.0,0.0
341368.0,19344.0,107337.0,69.0,463.36835,419.89532,566.36163,371.01886,929.62506,3248.1028,34232.055,6264.4927,590.5804,17871.93,12148.0,0.0
436490.0,13274.0,66302.0,65.0,305.36835,317.89532,420.36166,790.0189,464.62497,4936.1025,72499.055,12600.489,544.5804,16374.93,12226.0,0.0
379881.0,13536.0,64165.0,60.0,304.36832,146.89528,285.36166,167.01883,1317.6251,2339.1028,29463.053,4802.492,400.58044,11609.931,12868.0,0.0
246615.0,18448.0,88043.0,63.0,276.36832,427.89532,557.3617,582.01886,647.62506,3383.1028,45613.05,9814.492,454.58044,10252.93,12899.0,0.0
419339.0,26960.0,139869.0,69.0,525.36835,320.8954,582.3617,472.01886,673.625,1356.1027,12016.05,2558.492,541.5805,17128.932,13302.0,0.0
490466.0,20528.0,100781.0,65.0,412.36832,382.89536,446.36172,547.01886,652.62506,4737.102,67244.06,11133.491,524.58044,17798.93,15404.0,0.0
351552.0,18832.0,91082.0,62.0,316.36832,529.8953,584.3617,437.01883,723.62494,5136.102,68868.05,12584.49,540.58044,14383.93,15477.0,0.0
450214.0,16368.0,77414.0,62.0,412.36835,395.8953,418.3617,775.0189,2208.625,4193.1025,64973.05,11481.492,772.58044,16328.93,15582.0,0.0
392914.0,13584.0,69393.0,65.0,180.36832,430.89536,468.36166,858.0189,1411.625,890.10266,11097.05,2624.492,840.58044,13026.931,15917.0,0.0
425216.0,15680.0,73884.0,64.0,262.3683,295.89532,398.3617,283.01886,752.62494,3404.1025,51816.05,10121.492,528.58044,13509.931,16039.0,0.0
355437.0,14320.0,77888.0,72.0,205.3683,348.8953,378.36166,306.0188,438.62503,1649.1025,22541.05,4378.4917,589.58044,12564.93,16148.0,0.0
467602.0,18048.0,87346.0,62.0,299.36832,278.89532,721.3616,459.0188,614.62494,5940.1016,93594.055,15999.489,469.58044,12155.93,16256.0,0.0
343790.0,14800.0,70464.0,62.0,212.3683,334.8953,657.3617,243.01878,586.62506,2032.1027,22761.05,3883.4917,379.58044,10110.93,17358.0,0.0
445987.0,16336.0,78340.0,64.0,288.3683,251.89536,462.36166,298.01886,365.62503,2739.1025,46831.05,8484.491,420.58047,13660.931,17538.0,0.0
355101.0,17312.0,87875.0,64.0,418.36832,389.8953,546.36163,439.0188,725.62494,6011.102,91671.055,16827.49,586.58044,17638.93,17859.0,0.0
407132.0,16848.0,83092.0,63.0,286.36832,342.89532,457.36166,295.01886,903.62494,4349.1025,64093.05,10225.491,474.58044,14551.93,18207.0,0.0
450689.0,17056.0,83764.0,63.0,303.36832,322.89532,569.36163,379.0189,524.62506,3506.1028,39470.06,7832.4927,521.58044,13556.931,18362.0,0.0
358371.0,12088.0,60305.0,62.0,171.36829,320.8953,346.36163,427.01886,863.625,1362.1025,7637.05,1756.492,1547.5804,8609.93,18850.0,0.0
382567.0,16160.0,81739.0,67.0,268.36832,323.89536,424.3617,654.01886,437.62503,2860.1028,49109.05,9291.492,461.58044,14685.93,19786.0,0.0
